date,E_Grid KW,EOutInv KW
01/01/90 00:00,-0.001,-0.001
01/01/90 01:00,-0.001,-0.001
01/01/90 02:00,-0.001,-0.001
01/01/90 03:00,-0.001,-0.001
01/01/90 04:00,-0.001,-0.001
01/01/90 05:00,-0.001,-0.001
01/01/90 06:00,4.2762,4.2762
01/01/90 07:00,9.0322,9.0322
01/01/90 08:00,15.451,15.451
01/01/90 09:00,19.731,19.731
01/01/90 10:00,21.139,21.139
01/01/90 11:00,18.467,18.467
01/01/90 12:00,15.451,15.451
01/01/90 13:00,14.119,14.119
01/01/90 14:00,11.115,11.115
01/01/90 15:00,7.0194,7.0194
01/01/90 16:00,2.293,2.293
01/01/90 17:00,0.0718,0.0718
01/01/90 18:00,-0.001,-0.001
01/01/90 19:00,-0.001,-0.001
01/01/90 20:00,-0.001,-0.001
01/01/90 21:00,-0.001,-0.001
01/01/90 22:00,-0.001,-0.001
01/01/90 23:00,-0.001,-0.001
02/01/90 00:00,-0.001,-0.001
02/01/90 01:00,-0.001,-0.001
02/01/90 02:00,-0.001,-0.001
02/01/90 03:00,-0.001,-0.001
02/01/90 04:00,-0.001,-0.001
02/01/90 05:00,-0.001,-0.001
02/01/90 06:00,3.6174,3.6174
02/01/90 07:00,7.8341,7.8341
02/01/90 08:00,13.647,13.647
02/01/90 09:00,18.692,18.692
02/01/90 10:00,20.978,20.978
02/01/90 11:00,20.977,20.977
02/01/90 12:00,20.622,20.622
02/01/90 13:00,18.048,18.048
02/01/90 14:00,13.377,13.377
02/01/90 15:00,7.8714,7.8714
02/01/90 16:00,2.3433,2.3433
02/01/90 17:00,0.0732,0.0732
02/01/90 18:00,-0.001,-0.001
02/01/90 19:00,-0.001,-0.001
02/01/90 20:00,-0.001,-0.001
02/01/90 21:00,-0.001,-0.001
02/01/90 22:00,-0.001,-0.001
02/01/90 23:00,-0.001,-0.001
03/01/90 00:00,-0.001,-0.001
03/01/90 01:00,-0.001,-0.001
03/01/90 02:00,-0.001,-0.001
03/01/90 03:00,-0.001,-0.001
03/01/90 04:00,-0.001,-0.001
03/01/90 05:00,-0.001,-0.001
03/01/90 06:00,3.2229,3.2229
03/01/90 07:00,8.0289,8.0289
03/01/90 08:00,15.141,15.141
03/01/90 09:00,20.44,20.44
03/01/90 10:00,22.836,22.836
03/01/90 11:00,23.299,23.299
