Hourly,Electricity:Facility[J],Electricity kWh
2006-Jan-01 01:00:00,4607340.94,1.279817952
2006-Jan-01 02:00:00,4336273.747,1.204521449
2006-Jan-01 03:00:00,4100299.924,1.138973112
2006-Jan-01 04:00:00,3721289.667,1.033692401
2006-Jan-01 05:00:00,3380986.523,0.939163674
2006-Jan-01 06:00:00,3256338.62,0.904539229
2006-Jan-01 07:00:00,3442224.656,0.956174281
2006-Jan-01 08:00:00,3657974.852,1.016104938
2006-Jan-01 09:00:00,7506041.617,2.085013228
2006-Jan-01 10:00:00,7826170.951,2.173938114
2006-Jan-01 11:00:00,8639459.261,2.399851715
2006-Jan-01 12:00:00,9123169.518,2.534215782
2006-Jan-01 13:00:00,9232620.327,2.564618809
2006-Jan-01 14:00:00,9344646.31,2.595737163
2006-Jan-01 15:00:00,9411607.817,2.614337596
2006-Jan-01 16:00:00,9574842.362,2.659680562
2006-Jan-01 17:00:00,9702098.504,2.695029518
2006-Jan-01 18:00:00,10043785.02,2.789942514
2006-Jan-01 19:00:00,9644818.477,2.679118387
2006-Jan-01 20:00:00,9270467.728,2.575131984
2006-Jan-01 21:00:00,5373211.934,1.492560064
2006-Jan-01 22:00:00,5085423.743,1.412618837
2006-Jan-01 23:00:00,4832218.507,1.342283992
2006-Jan-02 00:00:00,4680899.649,1.300250943
2006-Jan-02 01:00:00,4691941.975,1.303318258
2006-Jan-02 02:00:00,4509468.868,1.252631243
2006-Jan-02 03:00:00,4344951.77,1.206932013
2006-Jan-02 04:00:00,4112238.679,1.142289436
2006-Jan-02 05:00:00,3880476.67,1.077911049
2006-Jan-02 06:00:00,3771719.582,1.047700722
2006-Jan-02 07:00:00,3698059.459,1.02723956
2006-Jan-02 08:00:00,6043940.417,1.678873681
2006-Jan-02 09:00:00,13064546.85,3.629043694
2006-Jan-02 10:00:00,14171653.89,3.936573675
2006-Jan-02 11:00:00,16467231.26,4.574234565
2006-Jan-02 12:00:00,18277518.91,5.077092647
2006-Jan-02 13:00:00,18394081.18,5.109471083
2006-Jan-02 14:00:00,18484757.74,5.134659036
2006-Jan-02 15:00:00,18540427.49,5.150122868
2006-Jan-02 16:00:00,18712072.34,5.19780203
2006-Jan-02 17:00:00,16229812.93,4.508284977
2006-Jan-02 18:00:00,13602444.16,3.778459733
2006-Jan-02 19:00:00,12619195.37,3.505334852
2006-Jan-02 20:00:00,12317170.81,3.421439073
2006-Jan-02 21:00:00,8045812.625,2.234949739
2006-Jan-02 22:00:00,6060448.605,1.683459293
2006-Jan-02 23:00:00,5136202.657,1.426724102
2006-Jan-03 00:00:00,4876216.425,1.354505646
2006-Jan-03 01:00:00,4865623.056,1.351563041
2006-Jan-03 02:00:00,4816097.76,1.337806004
2006-Jan-03 03:00:00,4540316.063,1.261199915
2006-Jan-03 04:00:00,4274857.931,1.187461486
2006-Jan-03 05:00:00,4200537.526,1.166816913
2006-Jan-03 06:00:00,3850968.149,1.06971423
2006-Jan-03 07:00:00,4005400.551,1.112612154
2006-Jan-03 08:00:00,6963144.947,1.934208477
2006-Jan-03 09:00:00,14276574.3,3.965718255
2006-Jan-03 10:00:00,14913109.89,4.142533839
2006-Jan-03 11:00:00,17130909.12,4.758589675
2006-Jan-03 12:00:00,18925807.42,5.257172934
2006-Jan-03 13:00:00,19162461.23,5.322910156
2006-Jan-03 14:00:00,19361356.73,5.37815895
2006-Jan-03 15:00:00,19647467.85,5.457634324
2006-Jan-03 16:00:00,19789505.54,5.49708927
2006-Jan-03 17:00:00,17036602.83,4.73239346
2006-Jan-03 18:00:00,13722744.3,3.811876467
2006-Jan-03 19:00:00,12413729.27,3.44826089
2006-Jan-03 20:00:00,12456294.85,3.460084672
2006-Jan-03 21:00:00,8461857.938,2.350517974
2006-Jan-03 22:00:00,6593944.207,1.831652634
2006-Jan-03 23:00:00,5542688.133,1.539636824
2006-Jan-04 00:00:00,5284230.736,1.467843045
