DateTime,Time stamp,System power generated | (kW),Lifetime electricity load | (kW),Electricity to load from system AC | (kW),Electricity to load from grid AC | (kW),Electricity to load from battery AC | (kW),Battery state of charge | (%),Curtailment,Energy Sold [USD],Energy Buy,Year,Cash Flow
2023-12-31,38373180,26454.1443413,14946.692854,10626.03531295,46.7253275,4273.93025619,708040.1199,15828.17640365,3501.9840293075627,3.6913008725,2023,-93351.70727156493
2024-12-31,115531560,26415.1492616,14964.746987,10630.680271407,48.4660657,4285.59953282,709367.2461,15784.539968293,3492.3294679848264,3.8288191903,2024,12488.500648794527
2025-12-31,192058620,26178.7367789,14946.692854,10610.802511423,50.2078908,4285.68098357,706411.0437,15568.010679277,3444.4223627900365,3.9664233732,2025,12440.455939416835
2026-12-31,268796220,26043.6262793,14946.692854,10603.030090376,51.94891575,4291.71235324,705616.9127,15440.676163524,3416.249601179685,4.10396434425,2026,12412.145636835436
2027-12-31,345533820,25908.6774166,14946.692854,10595.202710302,53.80170838,4297.68629458,704689.8028,15313.556526798,3388.1243815540574,4.25033496202,2027,12383.874046592038
2028-12-31,423533736,25879.0991829,14982.948502,10612.646929002,56.49453671,4313.80564843,705528.0821,15266.535900298,3377.7210679409327,4.46306840009,2028,12373.257999540843
2029-12-31,499219260,25637.956848,14946.692854,10579.295794256,59.32748423,4308.06840636,702082.6527,15058.746516044,3331.7476666747352,4.68687125417,2029,12327.060795420566
2030-12-31,575956860,25502.8185534,14946.692854,10571.2345130452,62.11571924,4313.3415181,700741.7025,14931.6731184548,3303.6326774581244,4.90714181996,2030,12298.725535638165
2031-12-31,652694460,25367.6805012,14946.692854,10563.054848806,64.90688264,4318.72927977,699394.5949,14804.714708494,3275.5431292542976,5.12764372856,2031,12270.415485525738
2032-12-31,731535912,25328.3135612,14985.515143,10582.3924488728,67.73373787999999,4335.38767191,700032.6918,14746.0119503272,3262.555144009893,5.35096529252,2032,12257.204178717373
2033-12-31,806379900,25096.890272,14946.692854,10546.3640131032,70.5288931,4329.79764214,696599.9957,14550.6170948968,3219.324032245917,5.5717825548999995,2033,12213.752249691017
2034-12-31,883117500,24961.7295615,14946.692854,10537.86944116,73.30570622,4335.51563905,695141.9339,14423.95098634,3191.299155727725,5.79115079138,2034,12185.508004936346
2035-12-31,959855100,24826.5400669,14946.692854,10529.32681256,76.1105923,4341.25320303,693652.2135,14297.30592724,3163.27893640185,6.0127367917,2035,12157.26619961015
2036-12-31,1039538088,24784.7921567,14983.85834,10547.02118558,78.99116056,4357.8447147,694139.8667,14237.86366302,3150.127335443175,6.24030168424,2036,12143.887033758936
2037-12-31,1113540540,24555.735703,14946.692854,10512.05257398,81.9962653,4352.64268636,690494.4963,14043.77762882,3107.185800376425,6.4777049586999995,2037,12100.708095417725
2038-12-31,1190278140,24420.5975024,14946.692854,10503.31861103,85.1732861,4358.199626,688802.7798,13917.37338317,3079.2188610263624,6.7286896019,2038,12072.490171424462
2039-12-31,1267015740,24285.4693409,14946.692854,10494.54796729,88.3558413,4363.7876165,687054.3435,13791.01769631,3051.2626653085877,6.9801114627,2039,12044.282553845887
2040-12-31,1347540264,24243.4220878,14985.067701,10513.20186862,91.5321422,4380.33226102,687304.1809,13730.31659888,3037.8325475022,7.2310392338,2040,12030.601508268399
2041-12-31,1420701180,24014.573728800002,14946.692854,10476.826436098,94.72912649999999,4375.13590319,683502.5381,13537.845469302,2995.2483100830677,7.4836009935,2041,11987.764709089568
2042-12-31,1497438780,23879.3522418,14946.692854,10467.824777429,97.9579703,4380.90893167,681691.736,13411.625637971,2967.3221724010837,7.7386796537,2042,11959.583492747384
2043-12-31,1574176380,23744.1180918,14946.692854,10458.7026633517,101.1865543,4386.80229096,679850.7137,13285.5153529483,2939.4202718398114,7.9937377897,2043,11931.426534050112
2044-12-31,1655542440,23697.4643058,14983.274686,10475.294450095,104.4199668,4403.55901687,680010.6709,13222.273365005,2925.427982007356,8.2491773772,2044,11917.178804630157
2045-12-31,1727861820,23473.1509122,14946.692854,10440.210571489,107.6489553,4398.8315512,676135.2123,13033.051103611,2883.5625566739336,8.5042674687,2045,11875.058289205233
2046-12-31,1804599420,23337.9533469,14946.692854,10430.75868023,110.87839853,4405.0547069,674258.4891,12907.30900437,2855.7421172168624,8.75939348387,2046,11846.982723732992
2047-12-31,1849790580,22665.3970864,14741.438619,10277.0923361,114.1515397,4350.19348434,660043.5011,12388.4299054,2740.94011656975,9.0179716363,2047,11731.922144933449
